state,college_bound,high_school_grads,full-time_freshmen_2014
Alabama,62.1,49242,30583
Alaska,44,7964,3507
Arizona,52.3,68060,35598
Arkansas,63.5,30947,19644
California,60.9,449202,273635
Colorado,58.2,54882,31939
Connecticut,73.4,42968,31548
Delaware,63.2,9829,6212
District of Columbia,0,0,0
Florida,63.4,179533,113848
Georgia,63.6,102511,65212
Hawaii,60.8,14088,8571
Idaho,43.7,19562,8553
Illinois,61.5,149249,91749
Indiana,61.3,73359,44974
Iowa,67.2,34768,23350
Kansas,65.4,34098,22294
Kentucky,63.6,46929,29834
Louisiana,69.5,45236,31432
Maine,54.6,15227,8307
Maryland,63.9,65968,42179
Massachusetts,74.5,74792,55698
Michigan,64,109270,69976
Minnesota,69.9,60719,42457
Mississippi,72.2,29642,21405
Missouri,62.1,68165,42348
Montana,60.9,9668,5891
Nebraska,62.5,22836,14271
Nevada,52.7,24689,13008
New Hampshire,61.5,16315,10033
New Jersey,69.8,106594,74450
New Mexico,63.3,19873,12583
New York,69.3,212185,147014
North Carolina,62.9,101942,64109
North Dakota,65.9,7388,4869
Ohio,62.5,125152,78261
Oklahoma,63,39223,24703
Oregon,47.6,37757,17980
Pennsylvania,61.6,143382,88303
Rhode Island,62,11774,7300
South Carolina,68.1,43943,29922
South Dakota,67.2,8582,5771
Tennessee,64.5,66336,42770
Texas,58.7,313846,184206
Utah,45.3,34482,15620
Vermont,54,7175,3877
Virginia,67.7,88589,59939
Washington,50.1,70104,35097
West Virginia,54.7,18013,9851
Wisconsin,61.3,66068,40488
Wyoming,53.8,5720,3079
Nation,62.6,3437846,2150709
