state,education_revenue
Alabama,"7,435,758"
Alaska,"2,935,538"
Arizona,"9,860,167"
Arkansas,"5,283,244"
California,"74,395,627"
Colorado,"9,764,525"
Connecticut,"11,376,740"
Delaware,"2,077,887"
District of Columbia,"2,251,430"
Florida,"26,789,374"
Georgia,"18,772,155"
Hawaii,"2,699,827"
Idaho,"2,294,497"
Illinois,"27,304,004"
Indiana,"12,103,344"
Iowa,"6,463,514"
Kansas,"6,225,153"
Kentucky,"7,453,976"
Louisiana,"8,927,289"
Maine,"2,737,132"
Maryland,"14,521,045"
Massachusetts,"17,197,389"
Michigan,"19,452,849"
Minnesota,"12,183,690"
Mississippi,"4,550,410"
Missouri,"10,927,026"
Montana,"1,805,295"
Nebraska,"4,168,349"
Nevada,"4,522,125"
New Hampshire,"2,992,501"
New Jersey,"28,489,659"
New Mexico,"3,986,781"
New York,"62,517,215"
North Carolina,"13,681,971"
North Dakota,"1,578,414"
Ohio,"24,516,266"
Oklahoma,"6,261,170"
Oregon,"7,077,486"
Pennsylvania,"28,983,071"
Rhode Island,"2,444,422"
South Carolina,"8,891,519"
South Dakota,"1,420,613"
Tennessee,"9,428,987"
Texas,"56,127,791"
Utah,"5,127,846"
Vermont,"1,758,461"
Virginia,"15,624,013"
Washington,"13,606,501"
West Virginia,"3,525,371"
Wisconsin,"11,197,990"
Wyoming,"1,961,721"
,
,
