state,2017_sat_part,2017_sat_read,2017_sat_math,2017_sat_total,2017_act_part,2017_act_eng,2017_act_math,2017_act_read,2017_act_science,2017_act_total,2018_sat_part,2018_sat_read,2018_sat_math,2018_sat_total,2018_act_part,2018_act_total,2017_sat_total_standardized,2018_sat_total_standardized,2017_act_total_standardized,2018_act_total_standardized,sat_score_pct_change,sat_partication_pct_change,act_score_pct_change,act_participation_pct_change,median_income,college_bound,education_revenue,2017_pop_est
Alabama,5,593,572,1165,100,18.9,18.4,19.7,19.4,19.2,6,595,571,1166,100,19.1,0.42477036033162024,0.49320672244987934,-1.1593482504152466,-1.1436541240932052,0.0008583690987124463,0.2,-0.005208333333333223,0.0,46257,62.1,7.44,4874747
Alaska,38,547,533,1080,65,18.7,19.8,20.4,19.9,19.8,43,562,544,1106,33,20.8,-0.5033443130744127,-0.1503807277405813,-0.8594661163264332,-0.332903408157956,0.024074074074074074,0.13157894736842105,0.050505050505050504,-0.49230769230769234,76440,44.0,2.94,739795
Arizona,30,563,553,1116,62,18.6,19.8,20.1,19.8,19.7,29,577,572,1149,66,19.2,-0.1102604513965635,0.3108569448959155,-0.9094464720079026,-1.0959629055087798,0.02956989247311828,-0.03333333333333333,-0.025380710659898477,0.06451612903225806,53558,52.3,9.86,7016270
Arkansas,3,614,594,1208,100,18.9,19.0,19.7,19.5,19.4,5,592,576,1169,100,19.4,0.8942871951134957,0.5253860949594024,-1.0593875390523093,-1.0005804683399273,-0.03228476821192053,0.6666666666666666,0.0,0.0,44334,63.5,5.28,3004279
California,53,531,524,1055,31,22.5,22.7,23.1,22.2,22.8,60,540,536,1076,27,22.7,-0.7763192170173636,-0.4721744528358116,0.63994455411763,0.5732297449461459,0.01990521327014218,0.1320754716981132,-0.004385964912280764,-0.12903225806451613,67739,60.9,74.4,39536653
Colorado,11,606,595,1201,100,20.1,20.3,21.2,20.9,20.8,100,519,506,1025,30,23.9,0.8178542220094694,-1.019223785497703,-0.35966255951174547,1.1455243679592628,-0.14654454621149043,8.090909090909092,0.14903846153846143,-0.7,65685,58.2,9.76,5607154
Connecticut,100,530,512,1041,31,25.5,24.6,25.6,24.6,25.2,100,535,519,1053,26,25.6,-0.9291851632254161,-0.7188829754088215,1.8394730904728798,1.9562750838945138,0.011527377521613832,0.0,0.01587301587301596,-0.16129032258064516,73433,73.4,11.38,3588184
Delaware,100,503,492,996,18,24.1,23.4,24.8,23.6,24.1,100,505,492,998,17,23.8,-1.4205399903227278,-1.3088381380834104,1.2896891779767243,1.0978331493748374,0.002008032128514056,0.0,-0.012448132780083016,-0.05555555555555555,61757,63.2,2.08,961939
District of Columbia,100,482,468,950,32,24.4,23.5,24.9,23.5,24.2,92,497,480,977,32,23.6,-1.9228138135777573,-1.5340937456500716,1.339669533658192,1.002450712205985,0.028421052631578948,-0.08,-0.02479338842975198,0.0,75506,0.0,2.25,693972
Florida,83,520,497,1017,73,19.0,19.4,21.0,19.4,19.8,56,550,549,1099,66,19.9,-1.191241071010649,-0.2254659302628017,-0.8594661163264332,-0.762124375417795,0.08062930186823992,-0.3253012048192771,0.0050505050505049425,-0.0958904109589041,50860,63.4,26.79,20984400
